ZONE_CODE,DISEASE_CATEGORY,PREVALENCE_SCORE,SOURCE,UPDATED_DATE
APAC-VN-02,Cardiac,0.486,IQVIA-simulated,2026-07-12
APAC-VN-02,Renal,0.496,IQVIA-simulated,2026-07-12
APAC-VN-02,Oncology,0.361,IQVIA-simulated,2026-07-12
APAC-VN-03,Diabetes,0.508,IQVIA-simulated,2026-07-12
APAC-VN-03,Respiratory,0.673,IQVIA-simulated,2026-07-12
APAC-VN-03,Cardiac,0.499,IQVIA-simulated,2026-07-12
APAC-VN-03,Renal,0.478,IQVIA-simulated,2026-07-12
APAC-VN-03,Oncology,0.392,IQVIA-simulated,2026-07-12
APAC-VN-04,Diabetes,0.533,IQVIA-simulated,2026-07-12
APAC-VN-04,Respiratory,0.547,IQVIA-simulated,2026-07-12
APAC-VN-04,Cardiac,0.436,IQVIA-simulated,2026-07-12
APAC-VN-04,Renal,0.386,IQVIA-simulated,2026-07-12
APAC-VN-04,Oncology,0.313,IQVIA-simulated,2026-07-12
APAC-VN-05,Diabetes,0.457,IQVIA-simulated,2026-07-12
APAC-VN-05,Respiratory,0.556,IQVIA-simulated,2026-07-12
APAC-VN-05,Cardiac,0.444,IQVIA-simulated,2026-07-12
APAC-VN-05,Renal,0.442,IQVIA-simulated,2026-07-12
APAC-VN-05,Oncology,0.358,IQVIA-simulated,2026-07-12
APAC-MY-01,Diabetes,0.699,IQVIA-simulated,2026-07-12
APAC-MY-01,Respiratory,0.434,IQVIA-simulated,2026-07-12
APAC-MY-01,Cardiac,0.563,IQVIA-simulated,2026-07-12
APAC-MY-01,Renal,0.57,IQVIA-simulated,2026-07-12
APAC-MY-01,Oncology,0.444,IQVIA-simulated,2026-07-12
APAC-MY-02,Diabetes,0.737,IQVIA-simulated,2026-07-12
APAC-MY-02,Respiratory,0.427,IQVIA-simulated,2026-07-12
APAC-MY-02,Cardiac,0.637,IQVIA-simulated,2026-07-12
APAC-MY-02,Renal,0.446,IQVIA-simulated,2026-07-12
APAC-MY-02,Oncology,0.401,IQVIA-simulated,2026-07-12
APAC-MY-03,Diabetes,0.798,IQVIA-simulated,2026-07-12
APAC-MY-03,Respiratory,0.502,IQVIA-simulated,2026-07-12
APAC-MY-03,Cardiac,0.609,IQVIA-simulated,2026-07-12
APAC-MY-03,Renal,0.53,IQVIA-simulated,2026-07-12
APAC-MY-03,Oncology,0.475,IQVIA-simulated,2026-07-12
APAC-MY-04,Diabetes,0.764,IQVIA-simulated,2026-07-12
APAC-MY-04,Respiratory,0.437,IQVIA-simulated,2026-07-12
APAC-MY-04,Cardiac,0.525,IQVIA-simulated,2026-07-12
APAC-MY-04,Renal,0.47,IQVIA-simulated,2026-07-12
APAC-MY-04,Oncology,0.383,IQVIA-simulated,2026-07-12
APAC-MY-05,Diabetes,0.674,IQVIA-simulated,2026-07-12
APAC-MY-05,Respiratory,0.551,IQVIA-simulated,2026-07-12
APAC-MY-05,Cardiac,0.66,IQVIA-simulated,2026-07-12
APAC-MY-05,Renal,0.47,IQVIA-simulated,2026-07-12
APAC-MY-05,Oncology,0.445,IQVIA-simulated,2026-07-12
APAC-SG-01,Diabetes,0.633,IQVIA-simulated,2026-07-12
APAC-SG-01,Respiratory,0.466,IQVIA-simulated,2026-07-12
APAC-SG-01,Cardiac,0.543,IQVIA-simulated,2026-07-12
APAC-SG-01,Renal,0.442,IQVIA-simulated,2026-07-12
APAC-SG-01,Oncology,0.479,IQVIA-simulated,2026-07-12
APAC-SG-02,Diabetes,0.66,IQVIA-simulated,2026-07-12
APAC-SG-02,Respiratory,0.362,IQVIA-simulated,2026-07-12
APAC-SG-02,Cardiac,0.564,IQVIA-simulated,2026-07-12
APAC-SG-02,Renal,0.544,IQVIA-simulated,2026-07-12
APAC-SG-02,Oncology,0.504,IQVIA-simulated,2026-07-12
APAC-SG-03,Diabetes,0.605,IQVIA-simulated,2026-07-12
APAC-SG-03,Respiratory,0.48,IQVIA-simulated,2026-07-12
APAC-SG-03,Cardiac,0.552,IQVIA-simulated,2026-07-12
APAC-SG-03,Renal,0.415,IQVIA-simulated,2026-07-12
APAC-SG-03,Oncology,0.448,IQVIA-simulated,2026-07-12
APAC-SG-04,Diabetes,0.588,IQVIA-simulated,2026-07-12
APAC-SG-04,Respiratory,0.42,IQVIA-simulated,2026-07-12
APAC-SG-04,Cardiac,0.597,IQVIA-simulated,2026-07-12
APAC-SG-04,Renal,0.468,IQVIA-simulated,2026-07-12
APAC-SG-04,Oncology,0.45,IQVIA-simulated,2026-07-12
APAC-SG-05,Diabetes,0.631,IQVIA-simulated,2026-07-12
APAC-SG-05,Respiratory,0.479,IQVIA-simulated,2026-07-12
APAC-SG-05,Cardiac,0.555,IQVIA-simulated,2026-07-12
APAC-SG-05,Renal,0.555,IQVIA-simulated,2026-07-12
APAC-SG-05,Oncology,0.578,IQVIA-simulated,2026-07-12
APAC-ID-01,Diabetes,0.472,IQVIA-simulated,2026-07-12
APAC-ID-01,Respiratory,0.685,IQVIA-simulated,2026-07-12
APAC-ID-01,Cardiac,0.479,IQVIA-simulated,2026-07-12
APAC-ID-01,Renal,0.386,IQVIA-simulated,2026-07-12
APAC-ID-01,Oncology,0.313,IQVIA-simulated,2026-07-12
APAC-ID-02,Diabetes,0.573,IQVIA-simulated,2026-07-12
APAC-ID-02,Respiratory,0.588,IQVIA-simulated,2026-07-12
APAC-ID-02,Cardiac,0.44,IQVIA-simulated,2026-07-12
APAC-ID-02,Renal,0.373,IQVIA-simulated,2026-07-12
APAC-ID-02,Oncology,0.423,IQVIA-simulated,2026-07-12
APAC-ID-03,Diabetes,0.61,IQVIA-simulated,2026-07-12
APAC-ID-03,Respiratory,0.612,IQVIA-simulated,2026-07-12
APAC-ID-03,Cardiac,0.45,IQVIA-simulated,2026-07-12
APAC-ID-03,Renal,0.329,IQVIA-simulated,2026-07-12
APAC-ID-03,Oncology,0.416,IQVIA-simulated,2026-07-12
APAC-ID-04,Diabetes,0.609,IQVIA-simulated,2026-07-12
APAC-ID-04,Respiratory,0.618,IQVIA-simulated,2026-07-12
APAC-ID-04,Cardiac,0.472,IQVIA-simulated,2026-07-12
APAC-ID-04,Renal,0.397,IQVIA-simulated,2026-07-12
APAC-ID-04,Oncology,0.294,IQVIA-simulated,2026-07-12
APAC-ID-05,Diabetes,0.592,IQVIA-simulated,2026-07-12
APAC-ID-05,Respiratory,0.656,IQVIA-simulated,2026-07-12
APAC-ID-05,Cardiac,0.495,IQVIA-simulated,2026-07-12
APAC-ID-05,Renal,0.385,IQVIA-simulated,2026-07-12
APAC-ID-05,Oncology,0.27,IQVIA-simulated,2026-07-12
APAC-PH-01,Diabetes,0.552,IQVIA-simulated,2026-07-12
APAC-PH-01,Respiratory,0.603,IQVIA-simulated,2026-07-12
APAC-PH-01,Cardiac,0.569,IQVIA-simulated,2026-07-12
APAC-PH-01,Renal,0.461,IQVIA-simulated,2026-07-12
APAC-PH-01,Oncology,0.413,IQVIA-simulated,2026-07-12
APAC-PH-02,Diabetes,0.549,IQVIA-simulated,2026-07-12
APAC-PH-02,Respiratory,0.609,IQVIA-simulated,2026-07-12
APAC-PH-02,Cardiac,0.56,IQVIA-simulated,2026-07-12
APAC-PH-02,Renal,0.472,IQVIA-simulated,2026-07-12
APAC-PH-02,Oncology,0.294,IQVIA-simulated,2026-07-12
APAC-PH-03,Diabetes,0.578,IQVIA-simulated,2026-07-12
APAC-PH-03,Respiratory,0.611,IQVIA-simulated,2026-07-12
APAC-PH-03,Cardiac,0.542,IQVIA-simulated,2026-07-12
APAC-PH-03,Renal,0.443,IQVIA-simulated,2026-07-12
APAC-PH-03,Oncology,0.301,IQVIA-simulated,2026-07-12
APAC-PH-04,Diabetes,0.576,IQVIA-simulated,2026-07-12
APAC-PH-04,Respiratory,0.688,IQVIA-simulated,2026-07-12
APAC-PH-04,Cardiac,0.462,IQVIA-simulated,2026-07-12
APAC-PH-04,Renal,0.46,IQVIA-simulated,2026-07-12
APAC-PH-04,Oncology,0.348,IQVIA-simulated,2026-07-12
APAC-PH-05,Diabetes,0.534,IQVIA-simulated,2026-07-12
APAC-PH-05,Respiratory,0.686,IQVIA-simulated,2026-07-12
APAC-PH-05,Cardiac,0.537,IQVIA-simulated,2026-07-12
APAC-PH-05,Renal,0.352,IQVIA-simulated,2026-07-12
APAC-PH-05,Oncology,0.33,IQVIA-simulated,2026-07-12
APAC-IN-01,Diabetes,0.829,IQVIA-simulated,2026-07-12
APAC-IN-01,Respiratory,0.624,IQVIA-simulated,2026-07-12
APAC-IN-01,Cardiac,0.61,IQVIA-simulated,2026-07-12
APAC-IN-01,Renal,0.553,IQVIA-simulated,2026-07-12
APAC-IN-01,Oncology,0.389,IQVIA-simulated,2026-07-12
APAC-IN-02,Diabetes,0.706,IQVIA-simulated,2026-07-12
APAC-IN-02,Respiratory,0.574,IQVIA-simulated,2026-07-12
APAC-IN-02,Cardiac,0.634,IQVIA-simulated,2026-07-12
APAC-IN-02,Renal,0.507,IQVIA-simulated,2026-07-12
APAC-IN-02,Oncology,0.405,IQVIA-simulated,2026-07-12
APAC-IN-03,Diabetes,0.681,IQVIA-simulated,2026-07-12
APAC-IN-03,Respiratory,0.621,IQVIA-simulated,2026-07-12
APAC-IN-03,Cardiac,0.577,IQVIA-simulated,2026-07-12
APAC-IN-03,Renal,0.615,IQVIA-simulated,2026-07-12
APAC-IN-03,Oncology,0.508,IQVIA-simulated,2026-07-12
APAC-IN-04,Diabetes,0.681,IQVIA-simulated,2026-07-12
APAC-IN-04,Respiratory,0.558,IQVIA-simulated,2026-07-12
APAC-IN-04,Cardiac,0.647,IQVIA-simulated,2026-07-12
APAC-IN-04,Renal,0.504,IQVIA-simulated,2026-07-12
APAC-IN-04,Oncology,0.391,IQVIA-simulated,2026-07-12
APAC-IN-05,Diabetes,0.82,IQVIA-simulated,2026-07-12
APAC-IN-05,Respiratory,0.611,IQVIA-simulated,2026-07-12
APAC-IN-05,Cardiac,0.616,IQVIA-simulated,2026-07-12
APAC-IN-05,Renal,0.596,IQVIA-simulated,2026-07-12
APAC-IN-05,Oncology,0.499,IQVIA-simulated,2026-07-12
APAC-JP-01,Diabetes,0.37,IQVIA-simulated,2026-07-12
APAC-JP-01,Respiratory,0.386,IQVIA-simulated,2026-07-12
APAC-JP-01,Cardiac,0.569,IQVIA-simulated,2026-07-12
APAC-JP-01,Renal,0.488,IQVIA-simulated,2026-07-12
APAC-JP-01,Oncology,0.675,IQVIA-simulated,2026-07-12
APAC-JP-02,Diabetes,0.457,IQVIA-simulated,2026-07-12
APAC-JP-02,Respiratory,0.478,IQVIA-simulated,2026-07-12
APAC-JP-02,Cardiac,0.657,IQVIA-simulated,2026-07-12
APAC-JP-02,Renal,0.436,IQVIA-simulated,2026-07-12
APAC-JP-02,Oncology,0.664,IQVIA-simulated,2026-07-12
APAC-JP-03,Diabetes,0.394,IQVIA-simulated,2026-07-12
APAC-JP-03,Respiratory,0.508,IQVIA-simulated,2026-07-12
APAC-JP-03,Cardiac,0.54,IQVIA-simulated,2026-07-12
APAC-JP-03,Renal,0.45,IQVIA-simulated,2026-07-12
APAC-JP-03,Oncology,0.672,IQVIA-simulated,2026-07-12
APAC-JP-04,Diabetes,0.408,IQVIA-simulated,2026-07-12
APAC-JP-04,Respiratory,0.415,IQVIA-simulated,2026-07-12
APAC-JP-04,Cardiac,0.54,IQVIA-simulated,2026-07-12
APAC-JP-04,Renal,0.568,IQVIA-simulated,2026-07-12
APAC-JP-04,Oncology,0.671,IQVIA-simulated,2026-07-12
APAC-JP-05,Diabetes,0.478,IQVIA-simulated,2026-07-12
APAC-JP-05,Respiratory,0.458,IQVIA-simulated,2026-07-12
APAC-JP-05,Cardiac,0.508,IQVIA-simulated,2026-07-12
APAC-JP-05,Renal,0.58,IQVIA-simulated,2026-07-12
APAC-JP-05,Oncology,0.734,IQVIA-simulated,2026-07-12
APAC-KR-01,Diabetes,0.555,IQVIA-simulated,2026-07-12
APAC-KR-01,Respiratory,0.488,IQVIA-simulated,2026-07-12
APAC-KR-01,Cardiac,0.606,IQVIA-simulated,2026-07-12
APAC-KR-01,Renal,0.447,IQVIA-simulated,2026-07-12
APAC-KR-01,Oncology,0.648,IQVIA-simulated,2026-07-12
APAC-KR-02,Diabetes,0.434,IQVIA-simulated,2026-07-12
APAC-KR-02,Respiratory,0.404,IQVIA-simulated,2026-07-12
APAC-KR-02,Cardiac,0.479,IQVIA-simulated,2026-07-12
APAC-KR-02,Renal,0.481,IQVIA-simulated,2026-07-12
APAC-KR-02,Oncology,0.728,IQVIA-simulated,2026-07-12
APAC-KR-03,Diabetes,0.442,IQVIA-simulated,2026-07-12
APAC-KR-03,Respiratory,0.465,IQVIA-simulated,2026-07-12
APAC-KR-03,Cardiac,0.543,IQVIA-simulated,2026-07-12
APAC-KR-03,Renal,0.488,IQVIA-simulated,2026-07-12
APAC-KR-03,Oncology,0.723,IQVIA-simulated,2026-07-12
APAC-KR-04,Diabetes,0.559,IQVIA-simulated,2026-07-12
APAC-KR-04,Respiratory,0.429,IQVIA-simulated,2026-07-12
APAC-KR-04,Cardiac,0.585,IQVIA-simulated,2026-07-12
APAC-KR-04,Renal,0.445,IQVIA-simulated,2026-07-12
APAC-KR-04,Oncology,0.617,IQVIA-simulated,2026-07-12
APAC-KR-05,Diabetes,0.555,IQVIA-simulated,2026-07-12
APAC-KR-05,Respiratory,0.433,IQVIA-simulated,2026-07-12
APAC-KR-05,Cardiac,0.557,IQVIA-simulated,2026-07-12
APAC-KR-05,Renal,0.54,IQVIA-simulated,2026-07-12
APAC-KR-05,Oncology,0.579,IQVIA-simulated,2026-07-12
APAC-TW-01,Diabetes,0.563,IQVIA-simulated,2026-07-12
APAC-TW-01,Respiratory,0.45,IQVIA-simulated,2026-07-12
APAC-TW-01,Cardiac,0.636,IQVIA-simulated,2026-07-12
APAC-TW-01,Renal,0.465,IQVIA-simulated,2026-07-12
APAC-TW-01,Oncology,0.674,IQVIA-simulated,2026-07-12
APAC-TW-02,Diabetes,0.483,IQVIA-simulated,2026-07-12
APAC-TW-02,Respiratory,0.4,IQVIA-simulated,2026-07-12
APAC-TW-02,Cardiac,0.595,IQVIA-simulated,2026-07-12
APAC-TW-02,Renal,0.548,IQVIA-simulated,2026-07-12
APAC-TW-02,Oncology,0.558,IQVIA-simulated,2026-07-12
APAC-TW-03,Diabetes,0.489,IQVIA-simulated,2026-07-12
APAC-TW-03,Respiratory,0.512,IQVIA-simulated,2026-07-12
APAC-TW-03,Cardiac,0.539,IQVIA-simulated,2026-07-12
APAC-TW-03,Renal,0.535,IQVIA-simulated,2026-07-12
APAC-TW-03,Oncology,0.619,IQVIA-simulated,2026-07-12
APAC-TW-04,Diabetes,0.537,IQVIA-simulated,2026-07-12
APAC-TW-04,Respiratory,0.463,IQVIA-simulated,2026-07-12
APAC-TW-04,Cardiac,0.584,IQVIA-simulated,2026-07-12
APAC-TW-04,Renal,0.59,IQVIA-simulated,2026-07-12
APAC-TW-04,Oncology,0.553,IQVIA-simulated,2026-07-12
APAC-TW-05,Diabetes,0.585,IQVIA-simulated,2026-07-12
APAC-TW-05,Respiratory,0.408,IQVIA-simulated,2026-07-12
APAC-TW-05,Cardiac,0.563,IQVIA-simulated,2026-07-12
APAC-TW-05,Renal,0.547,IQVIA-simulated,2026-07-12
APAC-TW-05,Oncology,0.568,IQVIA-simulated,2026-07-12
APAC-HK-01,Diabetes,0.471,IQVIA-simulated,2026-07-12
APAC-HK-01,Respiratory,0.46,IQVIA-simulated,2026-07-12
APAC-HK-01,Cardiac,0.482,IQVIA-simulated,2026-07-12
APAC-HK-01,Renal,0.473,IQVIA-simulated,2026-07-12
APAC-HK-01,Oncology,0.63,IQVIA-simulated,2026-07-12
APAC-HK-02,Diabetes,0.579,IQVIA-simulated,2026-07-12
APAC-HK-02,Respiratory,0.352,IQVIA-simulated,2026-07-12
APAC-HK-02,Cardiac,0.504,IQVIA-simulated,2026-07-12
APAC-HK-02,Renal,0.442,IQVIA-simulated,2026-07-12
APAC-HK-02,Oncology,0.619,IQVIA-simulated,2026-07-12
APAC-HK-03,Diabetes,0.561,IQVIA-simulated,2026-07-12
APAC-HK-03,Respiratory,0.481,IQVIA-simulated,2026-07-12
APAC-HK-03,Cardiac,0.529,IQVIA-simulated,2026-07-12
APAC-HK-03,Renal,0.425,IQVIA-simulated,2026-07-12
APAC-HK-03,Oncology,0.603,IQVIA-simulated,2026-07-12
APAC-HK-04,Diabetes,0.533,IQVIA-simulated,2026-07-12
APAC-HK-04,Respiratory,0.438,IQVIA-simulated,2026-07-12
APAC-HK-04,Cardiac,0.628,IQVIA-simulated,2026-07-12
APAC-HK-04,Renal,0.505,IQVIA-simulated,2026-07-12
APAC-HK-04,Oncology,0.471,IQVIA-simulated,2026-07-12
APAC-HK-05,Diabetes,0.551,IQVIA-simulated,2026-07-12
APAC-HK-05,Respiratory,0.388,IQVIA-simulated,2026-07-12
APAC-HK-05,Cardiac,0.576,IQVIA-simulated,2026-07-12
APAC-HK-05,Renal,0.55,IQVIA-simulated,2026-07-12
APAC-HK-05,Oncology,0.491,IQVIA-simulated,2026-07-12
APAC-AU-01,Diabetes,0.388,IQVIA-simulated,2026-07-12
APAC-AU-01,Respiratory,0.337,IQVIA-simulated,2026-07-12
APAC-AU-01,Cardiac,0.529,IQVIA-simulated,2026-07-12
APAC-AU-01,Renal,0.414,IQVIA-simulated,2026-07-12
APAC-AU-01,Oncology,0.637,IQVIA-simulated,2026-07-12
APAC-AU-02,Diabetes,0.485,IQVIA-simulated,2026-07-12
APAC-AU-02,Respiratory,0.353,IQVIA-simulated,2026-07-12
APAC-AU-02,Cardiac,0.541,IQVIA-simulated,2026-07-12
APAC-AU-02,Renal,0.412,IQVIA-simulated,2026-07-12
APAC-AU-02,Oncology,0.618,IQVIA-simulated,2026-07-12
APAC-AU-03,Diabetes,0.515,IQVIA-simulated,2026-07-12
APAC-AU-03,Respiratory,0.455,IQVIA-simulated,2026-07-12
APAC-AU-03,Cardiac,0.455,IQVIA-simulated,2026-07-12
APAC-AU-03,Renal,0.438,IQVIA-simulated,2026-07-12
APAC-AU-03,Oncology,0.584,IQVIA-simulated,2026-07-12
APAC-AU-04,Diabetes,0.371,IQVIA-simulated,2026-07-12
APAC-AU-04,Respiratory,0.443,IQVIA-simulated,2026-07-12
APAC-AU-04,Cardiac,0.542,IQVIA-simulated,2026-07-12
APAC-AU-04,Renal,0.412,IQVIA-simulated,2026-07-12
APAC-AU-04,Oncology,0.659,IQVIA-simulated,2026-07-12
APAC-AU-05,Diabetes,0.458,IQVIA-simulated,2026-07-12
APAC-AU-05,Respiratory,0.388,IQVIA-simulated,2026-07-12
APAC-AU-05,Cardiac,0.442,IQVIA-simulated,2026-07-12
APAC-AU-05,Renal,0.382,IQVIA-simulated,2026-07-12
APAC-AU-05,Oncology,0.681,IQVIA-simulated,2026-07-12
APAC-NZ-01,Diabetes,0.545,IQVIA-simulated,2026-07-12
APAC-NZ-01,Respiratory,0.427,IQVIA-simulated,2026-07-12
APAC-NZ-01,Cardiac,0.604,IQVIA-simulated,2026-07-12
APAC-NZ-01,Renal,0.433,IQVIA-simulated,2026-07-12
APAC-NZ-01,Oncology,0.544,IQVIA-simulated,2026-07-12
APAC-NZ-02,Diabetes,0.42,IQVIA-simulated,2026-07-12
APAC-NZ-02,Respiratory,0.389,IQVIA-simulated,2026-07-12
APAC-NZ-02,Cardiac,0.614,IQVIA-simulated,2026-07-12
APAC-NZ-02,Renal,0.467,IQVIA-simulated,2026-07-12
APAC-NZ-02,Oncology,0.658,IQVIA-simulated,2026-07-12
APAC-NZ-03,Diabetes,0.544,IQVIA-simulated,2026-07-12
APAC-NZ-03,Respiratory,0.374,IQVIA-simulated,2026-07-12
APAC-NZ-03,Cardiac,0.51,IQVIA-simulated,2026-07-12
APAC-NZ-03,Renal,0.356,IQVIA-simulated,2026-07-12
APAC-NZ-03,Oncology,0.645,IQVIA-simulated,2026-07-12
APAC-NZ-04,Diabetes,0.541,IQVIA-simulated,2026-07-12
APAC-NZ-04,Respiratory,0.405,IQVIA-simulated,2026-07-12
APAC-NZ-04,Cardiac,0.569,IQVIA-simulated,2026-07-12
APAC-NZ-04,Renal,0.365,IQVIA-simulated,2026-07-12
APAC-NZ-04,Oncology,0.669,IQVIA-simulated,2026-07-12
APAC-NZ-05,Diabetes,0.538,IQVIA-simulated,2026-07-12
APAC-NZ-05,Respiratory,0.496,IQVIA-simulated,2026-07-12
APAC-NZ-05,Cardiac,0.6,IQVIA-simulated,2026-07-12
APAC-NZ-05,Renal,0.481,IQVIA-simulated,2026-07-12
APAC-NZ-05,Oncology,0.524,IQVIA-simulated,2026-07-12
APAC-CN-01,Diabetes,0.688,IQVIA-simulated,2026-07-12
APAC-CN-01,Respiratory,0.653,IQVIA-simulated,2026-07-12
APAC-CN-01,Cardiac,0.619,IQVIA-simulated,2026-07-12
APAC-CN-01,Renal,0.548,IQVIA-simulated,2026-07-12
APAC-CN-01,Oncology,0.608,IQVIA-simulated,2026-07-12
APAC-CN-02,Diabetes,0.7,IQVIA-simulated,2026-07-12
APAC-CN-02,Respiratory,0.643,IQVIA-simulated,2026-07-12
APAC-CN-02,Cardiac,0.596,IQVIA-simulated,2026-07-12
APAC-CN-02,Renal,0.437,IQVIA-simulated,2026-07-12
APAC-CN-02,Oncology,0.61,IQVIA-simulated,2026-07-12
APAC-CN-03,Diabetes,0.707,IQVIA-simulated,2026-07-12
APAC-CN-03,Respiratory,0.636,IQVIA-simulated,2026-07-12
APAC-CN-03,Cardiac,0.601,IQVIA-simulated,2026-07-12
APAC-CN-03,Renal,0.494,IQVIA-simulated,2026-07-12
APAC-CN-03,Oncology,0.519,IQVIA-simulated,2026-07-12
APAC-CN-04,Diabetes,0.697,IQVIA-simulated,2026-07-12
APAC-CN-04,Respiratory,0.636,IQVIA-simulated,2026-07-12
APAC-CN-04,Cardiac,0.474,IQVIA-simulated,2026-07-12
APAC-CN-04,Renal,0.451,IQVIA-simulated,2026-07-12
APAC-CN-04,Oncology,0.523,IQVIA-simulated,2026-07-12
APAC-CN-05,Diabetes,0.708,IQVIA-simulated,2026-07-12
APAC-CN-05,Respiratory,0.755,IQVIA-simulated,2026-07-12
APAC-CN-05,Cardiac,0.515,IQVIA-simulated,2026-07-12
APAC-CN-05,Renal,0.523,IQVIA-simulated,2026-07-12
APAC-CN-05,Oncology,0.534,IQVIA-simulated,2026-07-12
